,trip_date,city,median_trip_duration_minutes
143,2017-03-14,boston,6.966666666666667
144,2017-03-15,boston,8.533333333333333
145,2017-03-16,boston,8.100000000000001
146,2017-03-17,boston,8.491666666666667
147,2017-03-17,nyc,13.066666666666666
148,2017-03-18,boston,8.6
149,2017-03-18,nyc,11.191666666666666
150,2017-03-19,boston,7.783333333333333
151,2017-03-19,nyc,11.016666666666667
152,2017-03-20,boston,8.633333333333333
153,2017-03-20,nyc,9.658333333333333
154,2017-03-21,nyc,9.716666666666667
155,2017-03-21,boston,9.6
156,2017-03-22,boston,8.15
157,2017-03-22,nyc,8.35
158,2017-03-23,nyc,8.583333333333334
159,2017-03-23,boston,7.8916666666666675
160,2017-03-24,boston,7.775
161,2017-03-24,nyc,9.0
162,2017-03-25,boston,8.616666666666667
163,2017-03-25,nyc,10.266666666666667
164,2017-03-26,nyc,8.783333333333333
165,2017-03-26,boston,9.55
166,2017-03-27,boston,8.3
167,2017-03-27,nyc,8.916666666666666
168,2017-03-28,boston,8.516666666666667
169,2017-03-28,nyc,8.45
170,2017-03-29,boston,9.15
171,2017-03-29,nyc,9.616666666666667
172,2017-03-30,boston,9.05
173,2017-03-30,nyc,9.183333333333334
174,2017-03-31,nyc,7.55
175,2017-03-31,boston,8.483333333333333
176,2017-04-01,boston,7.65
177,2017-04-01,nyc,8.933333333333334
178,2017-04-02,nyc,13.133333333333333
179,2017-04-02,boston,11.933333333333334
180,2017-04-03,nyc,9.65
181,2017-04-03,boston,9.866666666666667
182,2017-04-04,boston,7.616666666666666
183,2017-04-04,nyc,8.525
184,2017-04-05,boston,9.066666666666666
185,2017-04-05,nyc,9.85
186,2017-04-06,boston,8.308333333333334
187,2017-04-06,nyc,8.4
188,2017-04-07,nyc,8.716666666666667
189,2017-04-07,boston,9.616666666666667
190,2017-04-08,boston,12.383333333333333
191,2017-04-08,nyc,11.433333333333334
192,2017-04-09,nyc,13.666666666666666
193,2017-04-09,boston,16.866666666666667
194,2017-04-10,nyc,11.2
195,2017-04-10,boston,11.85
196,2017-04-11,boston,11.866666666666667
197,2017-04-11,nyc,11.6
198,2017-04-12,boston,10.233333333333333
199,2017-04-12,nyc,10.583333333333334
200,2017-04-13,nyc,10.65
201,2017-04-13,boston,10.6
202,2017-04-14,boston,11.758333333333333
203,2017-04-14,nyc,11.333333333333334
204,2017-04-15,boston,16.966666666666665
205,2017-04-15,nyc,12.733333333333333
206,2017-04-16,boston,17.166666666666668
207,2017-04-16,nyc,15.583333333333334
208,2017-04-17,boston,12.933333333333334
209,2017-04-17,nyc,10.8
210,2017-04-18,nyc,10.383333333333333
211,2017-04-18,boston,10.016666666666667
212,2017-04-19,nyc,9.116666666666667
213,2017-04-19,boston,9.433333333333334
214,2017-04-20,boston,9.75
215,2017-04-20,nyc,9.65
216,2017-04-21,boston,7.433333333333334
217,2017-04-21,nyc,9.4
218,2017-04-22,nyc,11.116666666666667
219,2017-04-22,boston,10.033333333333333
220,2017-04-23,boston,13.666666666666666
221,2017-04-23,nyc,13.15
222,2017-04-24,nyc,9.75
223,2017-04-24,boston,10.666666666666666
224,2017-04-25,nyc,8.15
225,2017-04-25,boston,8.3
226,2017-04-26,boston,8.925
227,2017-04-26,nyc,9.283333333333333
228,2017-04-27,nyc,10.15
229,2017-04-27,boston,10.483333333333333
230,2017-04-28,nyc,11.4
231,2017-04-28,boston,11.616666666666667
232,2017-04-29,boston,15.166666666666666
233,2017-04-29,nyc,14.116666666666667
234,2017-04-30,nyc,11.483333333333333
235,2017-04-30,boston,10.783333333333333
236,2017-05-01,boston,9.383333333333333
237,2017-05-01,nyc,10.716666666666667
238,2017-05-02,boston,9.791666666666668
239,2017-05-02,nyc,10.716666666666667
240,2017-05-03,boston,10.266666666666667
241,2017-05-03,nyc,10.366666666666667
242,2017-05-04,nyc,10.25
243,2017-05-04,boston,10.366666666666667
244,2017-05-05,boston,8.6
245,2017-05-05,nyc,8.883333333333333
246,2017-05-06,nyc,11.75
247,2017-05-06,boston,11.083333333333334
248,2017-05-07,nyc,10.216666666666667
249,2017-05-07,boston,12.85
250,2017-05-08,boston,9.466666666666667
251,2017-05-08,nyc,9.85
252,2017-05-09,boston,9.466666666666667
253,2017-05-09,nyc,10.016666666666667
254,2017-05-10,nyc,10.2
255,2017-05-10,boston,10.0
256,2017-05-11,boston,9.833333333333334
257,2017-05-11,nyc,10.15
258,2017-05-12,nyc,10.266666666666667
259,2017-05-12,boston,10.333333333333332
260,2017-05-13,nyc,7.3
261,2017-05-13,boston,11.8
262,2017-05-14,boston,8.083333333333334
263,2017-05-14,nyc,11.416666666666666
264,2017-05-15,boston,9.35
265,2017-05-15,nyc,10.15
266,2017-05-16,boston,11.35
267,2017-05-16,nyc,11.05
268,2017-05-17,nyc,11.033333333333333
269,2017-05-17,boston,11.141666666666666
270,2017-05-18,boston,11.0
271,2017-05-18,nyc,10.783333333333333
272,2017-05-19,nyc,10.833333333333334
273,2017-05-19,boston,11.416666666666666
274,2017-05-20,nyc,11.9
275,2017-05-20,boston,14.65
276,2017-05-21,nyc,13.5
277,2017-05-21,boston,14.975
278,2017-05-22,boston,9.133333333333333
279,2017-05-22,nyc,8.7
280,2017-05-23,boston,10.766666666666667
281,2017-05-23,nyc,10.45
282,2017-05-24,boston,11.133333333333333
283,2017-05-24,nyc,10.483333333333333
284,2017-05-25,nyc,8.433333333333334
285,2017-05-25,boston,9.283333333333333
286,2017-05-26,boston,10.383333333333333
287,2017-05-26,nyc,10.716666666666667
288,2017-05-27,boston,15.85
289,2017-05-27,nyc,14.2
290,2017-05-28,boston,17.041666666666668
291,2017-05-28,nyc,15.5
292,2017-05-29,boston,10.041666666666668
293,2017-05-29,nyc,9.9
294,2017-05-30,nyc,9.75
295,2017-05-30,boston,10.441666666666666
296,2017-05-31,boston,10.866666666666667
297,2017-05-31,nyc,10.65
298,2017-06-01,boston,11.35
299,2017-06-01,nyc,10.9
300,2017-06-02,nyc,11.033333333333333
301,2017-06-02,boston,11.316666666666666
302,2017-06-03,nyc,13.216666666666667
303,2017-06-03,boston,13.2
304,2017-06-04,nyc,10.816666666666666
305,2017-06-04,boston,14.083333333333334
306,2017-06-05,boston,9.466666666666667
307,2017-06-05,nyc,10.15
308,2017-06-06,boston,9.066666666666666
309,2017-06-06,nyc,8.966666666666667
310,2017-06-07,boston,11.25
311,2017-06-07,nyc,10.433333333333334
312,2017-06-08,nyc,10.55
313,2017-06-08,boston,11.383333333333333
314,2017-06-09,nyc,11.233333333333333
315,2017-06-09,boston,11.666666666666666
316,2017-06-10,boston,15.6
317,2017-06-10,nyc,13.133333333333333
318,2017-06-11,boston,14.566666666666666
319,2017-06-11,nyc,12.766666666666667
320,2017-06-12,boston,11.05
321,2017-06-12,nyc,10.433333333333334
322,2017-06-13,boston,11.05
323,2017-06-13,nyc,10.133333333333333
324,2017-06-14,nyc,10.616666666666667
325,2017-06-14,boston,11.4
326,2017-06-15,nyc,10.75
327,2017-06-15,boston,11.733333333333333
328,2017-06-16,boston,10.366666666666667
329,2017-06-16,nyc,9.883333333333333
330,2017-06-17,nyc,10.916666666666666
331,2017-06-17,boston,13.933333333333334
332,2017-06-18,nyc,12.483333333333333
333,2017-06-18,boston,14.183333333333334
334,2017-06-19,nyc,9.466666666666667
335,2017-06-19,boston,11.25
336,2017-06-20,boston,11.316666666666666
337,2017-06-20,nyc,10.85
338,2017-06-21,boston,11.616666666666667
339,2017-06-21,nyc,10.766666666666667
340,2017-06-22,boston,11.5
341,2017-06-22,nyc,10.766666666666667
342,2017-06-23,boston,11.866666666666667
343,2017-06-23,nyc,10.083333333333334
344,2017-06-24,nyc,13.0
345,2017-06-24,boston,14.675
346,2017-06-25,nyc,13.716666666666667
347,2017-06-25,boston,14.8
348,2017-06-26,boston,11.95
349,2017-06-26,nyc,10.883333333333333
350,2017-06-27,boston,10.883333333333333
351,2017-06-27,nyc,10.866666666666667
352,2017-06-28,boston,11.833333333333334
353,2017-06-28,nyc,10.883333333333333
354,2017-06-28,sf,9.458333333333332
355,2017-06-29,nyc,10.733333333333333
356,2017-06-29,boston,11.283333333333333
357,2017-06-29,sf,9.35
358,2017-06-30,sf,9.366666666666667
359,2017-06-30,boston,10.966666666666667
360,2017-06-30,nyc,10.483333333333333
361,2017-07-01,boston,14.65
362,2017-07-01,nyc,11.966666666666667
363,2017-07-01,sf,16.783333333333335
364,2017-07-02,sf,18.416666666666668
365,2017-07-02,nyc,14.1
366,2017-07-02,boston,16.033333333333335
367,2017-07-03,boston,13.15
368,2017-07-03,nyc,11.733333333333333
369,2017-07-03,sf,10.958333333333332
370,2017-07-04,nyc,14.566666666666666
371,2017-07-04,boston,16.566666666666666
372,2017-07-04,sf,17.866666666666667
373,2017-07-05,nyc,10.866666666666667
374,2017-07-05,boston,11.541666666666668
375,2017-07-05,sf,9.533333333333333
376,2017-07-06,sf,9.533333333333333
377,2017-07-06,boston,11.866666666666667
378,2017-07-06,nyc,10.6
379,2017-07-07,boston,10.8
380,2017-07-07,nyc,10.05
381,2017-07-07,sf,9.6
382,2017-07-08,sf,13.833333333333334
383,2017-07-08,boston,13.75
384,2017-07-08,nyc,12.8
385,2017-07-09,nyc,13.383333333333333
386,2017-07-09,boston,14.95
387,2017-07-09,sf,13.3
388,2017-07-10,nyc,10.683333333333334
389,2017-07-10,boston,11.366666666666667
390,2017-07-10,sf,9.3
391,2017-07-11,sf,9.466666666666667
392,2017-07-11,nyc,10.4
393,2017-07-11,boston,11.183333333333334
394,2017-07-12,sf,9.5
395,2017-07-12,boston,10.883333333333333
396,2017-07-12,nyc,10.266666666666667
397,2017-07-13,nyc,9.716666666666667
398,2017-07-13,boston,10.133333333333333
399,2017-07-13,sf,9.816666666666666
400,2017-07-14,boston,11.5
401,2017-07-14,nyc,9.2
402,2017-07-14,sf,9.908333333333333
403,2017-07-15,sf,16.791666666666664
404,2017-07-15,nyc,13.1
405,2017-07-15,boston,15.0
406,2017-07-16,boston,15.433333333333334
407,2017-07-16,sf,16.233333333333334
408,2017-07-16,nyc,13.15
409,2017-07-17,nyc,10.616666666666667
410,2017-07-17,boston,11.741666666666667
411,2017-07-17,sf,9.55
412,2017-07-18,nyc,10.733333333333333
413,2017-07-18,boston,11.1
414,2017-07-18,sf,9.266666666666667
415,2017-07-19,boston,11.483333333333333
416,2017-07-19,nyc,10.45
417,2017-07-19,sf,9.516666666666667
418,2017-07-20,boston,11.15
419,2017-07-20,sf,9.691666666666666
420,2017-07-20,nyc,10.066666666666666
421,2017-07-21,sf,9.8
422,2017-07-21,boston,11.65
423,2017-07-21,nyc,10.483333333333333
424,2017-07-22,boston,14.325
425,2017-07-22,sf,16.716666666666665
426,2017-07-22,nyc,12.116666666666667
427,2017-07-23,sf,16.483333333333334
428,2017-07-23,nyc,11.933333333333334
429,2017-07-23,boston,14.75
430,2017-07-24,sf,9.583333333333334
431,2017-07-24,nyc,9.85
432,2017-07-24,boston,9.233333333333333
433,2017-07-25,boston,10.75
434,2017-07-25,nyc,10.483333333333333
435,2017-07-25,sf,9.816666666666666
436,2017-07-26,boston,11.7
437,2017-07-26,nyc,11.033333333333333
438,2017-07-26,sf,10.016666666666667
439,2017-07-27,boston,10.666666666666666
440,2017-07-27,nyc,10.4
441,2017-07-27,sf,9.6
442,2017-07-28,nyc,10.75
443,2017-07-28,sf,10.058333333333334
444,2017-07-28,boston,12.016666666666667
445,2017-07-29,boston,14.158333333333333
446,2017-07-29,sf,13.766666666666667
447,2017-07-29,nyc,12.45
448,2017-07-30,nyc,13.916666666666666
449,2017-07-30,sf,14.625
450,2017-07-30,boston,15.166666666666666
451,2017-07-31,nyc,10.766666666666667
452,2017-07-31,boston,12.1
453,2017-07-31,sf,9.616666666666667
454,2017-08-01,sf,9.45
455,2017-08-01,boston,11.566666666666666
456,2017-08-01,nyc,10.616666666666667
457,2017-08-02,nyc,10.183333333333334
458,2017-08-02,sf,9.75
459,2017-08-02,boston,10.616666666666667
460,2017-08-03,sf,10.016666666666667
461,2017-08-03,boston,11.45
462,2017-08-03,nyc,10.5
463,2017-08-04,boston,11.733333333333333
464,2017-08-04,nyc,10.783333333333333
465,2017-08-04,sf,10.15
466,2017-08-05,boston,13.983333333333333
467,2017-08-05,nyc,13.95
468,2017-08-05,sf,16.766666666666666
469,2017-08-06,nyc,13.358333333333334
470,2017-08-06,boston,15.833333333333332
471,2017-08-06,sf,14.958333333333332
472,2017-08-07,boston,11.466666666666667
473,2017-08-07,nyc,8.333333333333334
474,2017-08-07,sf,10.0
475,2017-08-08,nyc,10.65
476,2017-08-08,boston,11.216666666666667
477,2017-08-08,sf,9.6
478,2017-08-09,sf,9.55
479,2017-08-09,boston,11.65
480,2017-08-09,nyc,10.783333333333333
481,2017-08-10,nyc,10.75
482,2017-08-10,boston,11.733333333333333
483,2017-08-10,sf,9.8
484,2017-08-11,boston,12.05
485,2017-08-11,sf,10.15
486,2017-08-11,nyc,10.833333333333334
487,2017-08-12,nyc,14.183333333333334
488,2017-08-12,sf,14.283333333333333
489,2017-08-12,boston,14.691666666666666
490,2017-08-13,sf,14.616666666666667
491,2017-08-13,nyc,13.466666666666667
492,2017-08-13,boston,15.016666666666667
493,2017-08-14,boston,11.633333333333333
494,2017-08-14,nyc,10.616666666666667
495,2017-08-14,sf,9.783333333333333
496,2017-08-15,boston,11.566666666666666
497,2017-08-15,sf,9.916666666666666
498,2017-08-15,nyc,10.05
499,2017-08-16,boston,11.65
500,2017-08-16,nyc,10.45
501,2017-08-16,sf,9.791666666666668
502,2017-08-17,sf,10.491666666666667
503,2017-08-17,boston,11.566666666666666
504,2017-08-17,nyc,10.65
505,2017-08-18,boston,10.8
506,2017-08-18,sf,10.416666666666666
507,2017-08-18,nyc,9.3
508,2017-08-19,sf,13.383333333333333
509,2017-08-19,nyc,14.433333333333334
510,2017-08-19,boston,15.033333333333333
511,2017-08-20,nyc,12.7
512,2017-08-20,sf,14.466666666666667
513,2017-08-20,boston,13.833333333333334
514,2017-08-21,nyc,10.7
515,2017-08-21,boston,11.3
516,2017-08-21,sf,9.766666666666667
517,2017-08-22,nyc,10.316666666666666
518,2017-08-22,boston,11.233333333333333
519,2017-08-22,sf,9.733333333333333
520,2017-08-23,boston,11.116666666666667
521,2017-08-23,nyc,10.516666666666667
522,2017-08-23,sf,9.716666666666667
523,2017-08-24,boston,11.55
524,2017-08-24,sf,9.375
525,2017-08-24,nyc,10.816666666666666
526,2017-08-25,boston,11.583333333333334
527,2017-08-25,nyc,10.866666666666667
528,2017-08-25,sf,9.9
529,2017-08-26,nyc,12.383333333333333
530,2017-08-26,boston,14.383333333333333
531,2017-08-26,sf,13.55
532,2017-08-27,sf,14.266666666666667
533,2017-08-27,boston,14.008333333333333
534,2017-08-27,nyc,13.033333333333333
535,2017-08-28,sf,9.9
536,2017-08-28,boston,10.866666666666667
537,2017-08-28,nyc,10.583333333333334
538,2017-08-29,nyc,9.083333333333334
539,2017-08-29,sf,9.691666666666666
540,2017-08-29,boston,10.516666666666667
541,2017-08-30,sf,9.316666666666666
542,2017-08-30,nyc,10.616666666666667
543,2017-08-30,boston,10.816666666666666
544,2017-08-31,boston,10.933333333333334
545,2017-08-31,sf,10.083333333333334
546,2017-08-31,nyc,10.533333333333333
547,2017-09-01,boston,11.2
548,2017-09-01,nyc,10.283333333333333
549,2017-09-01,sf,10.283333333333333
550,2017-09-02,boston,14.575
551,2017-09-02,sf,14.8
552,2017-09-02,nyc,12.283333333333333
553,2017-09-03,nyc,12.133333333333333
554,2017-09-03,sf,15.033333333333333
555,2017-09-03,boston,8.875
556,2017-09-04,sf,14.516666666666667
557,2017-09-04,boston,14.55
558,2017-09-04,nyc,14.116666666666667
559,2017-09-05,sf,9.683333333333334
560,2017-09-05,boston,10.666666666666666
561,2017-09-05,nyc,10.633333333333333
562,2017-09-06,sf,9.8
563,2017-09-06,boston,10.0
564,2017-09-06,nyc,8.733333333333333
565,2017-09-07,nyc,10.633333333333333
566,2017-09-07,sf,9.566666666666666
567,2017-09-07,boston,10.6
568,2017-09-08,nyc,10.733333333333333
569,2017-09-08,sf,10.166666666666666
570,2017-09-08,boston,11.083333333333334
571,2017-09-09,nyc,12.466666666666667
572,2017-09-09,boston,13.066666666666666
573,2017-09-09,sf,13.633333333333333
574,2017-09-10,boston,12.35
575,2017-09-10,sf,13.85
576,2017-09-10,nyc,12.291666666666668
577,2017-09-11,sf,9.583333333333334
578,2017-09-11,nyc,10.866666666666667
579,2017-09-11,boston,10.716666666666667
580,2017-09-12,boston,10.983333333333333
581,2017-09-12,sf,9.75
582,2017-09-12,nyc,10.666666666666666
583,2017-09-13,boston,10.916666666666666
584,2017-09-13,nyc,10.4
585,2017-09-13,sf,9.4
586,2017-09-14,sf,9.733333333333333
587,2017-09-14,boston,10.6
588,2017-09-14,nyc,10.483333333333333
589,2017-09-15,nyc,10.85
590,2017-09-15,sf,10.083333333333334
591,2017-09-15,boston,10.266666666666667
592,2017-09-16,boston,12.816666666666666
593,2017-09-16,sf,13.641666666666666
594,2017-09-16,nyc,12.25
595,2017-09-17,boston,12.833333333333334
596,2017-09-17,nyc,12.233333333333333
597,2017-09-17,sf,14.283333333333333
598,2017-09-18,nyc,10.316666666666666
599,2017-09-18,sf,9.616666666666667
600,2017-09-18,boston,10.158333333333333
601,2017-09-19,sf,9.6
602,2017-09-19,boston,9.816666666666666
603,2017-09-19,nyc,9.8
604,2017-09-20,sf,9.516666666666667
605,2017-09-20,boston,9.458333333333332
606,2017-09-20,nyc,10.416666666666666
607,2017-09-21,sf,9.65
608,2017-09-21,boston,10.0
609,2017-09-21,nyc,10.583333333333334
610,2017-09-22,nyc,10.833333333333334
611,2017-09-22,sf,9.916666666666666
612,2017-09-22,boston,9.55
613,2017-09-23,boston,13.566666666666666
614,2017-09-23,nyc,12.883333333333333
615,2017-09-23,sf,12.933333333333334
616,2017-09-24,sf,12.5
617,2017-09-24,nyc,12.2
618,2017-09-24,boston,13.483333333333333
619,2017-09-25,sf,9.25
