,city,trip_date,median_trip_duration_minutes,trip_count,trip_count_7d_ma,trip_count_14d_ma,median_trip_duration_minutes_norm,trip_count_norm,trip_count_7d_ma_norm,trip_count_14d_ma_norm
4677,sf,2020-10-26,10.441666666666666,4740,5370.714285714285,5551.714285714285,0.25804289544235925,0.2534722222222222,0.31342775882758683,0.3373248507466341
4678,sf,2020-10-27,11.033333333333333,5085,5395.285714285715,5552.928571428572,0.30563002680965146,0.2737758945386064,0.31505296079672696,0.337408109392065
4679,sf,2020-10-28,10.75,5054,5389.571428571428,5530.785714285715,0.28284182305630035,0.2719515065913371,0.3146750068504153,0.3358898635047972
4680,sf,2020-10-29,10.75,5328,5446.142857142857,5519.142857142857,0.28284182305630035,0.2880767419962335,0.3184167509189005,0.3350915600221369
4681,sf,2020-10-30,11.1,5883,5453.142857142857,5501.5,0.3109919571045576,0.3207391713747646,0.3188797445031323,0.33388186087970106
4682,sf,2020-10-31,13.05,7012,5549.714285714285,5458.0,0.467828418230563,0.3871822033898305,0.325267166195799,0.3308992423463265
4683,sf,2020-11-01,13.116666666666667,5989,5584.428571428572,5456.857142857143,0.47319034852546915,0.3269774011299435,0.32756323641964225,0.330820881268274
4684,sf,2020-11-02,10.316666666666666,4672,5574.714285714285,5472.714285714285,0.24798927613941024,0.24947033898305082,0.32692071471091244,0.3319081412262529
4685,sf,2020-11-03,10.583333333333334,5193,5590.142857142857,5492.714285714285,0.2694369973190349,0.2801318267419962,0.32794119036595387,0.33327946009217213
4686,sf,2020-11-04,10.5,4581,5522.571428571428,5456.071428571428,0.2627345844504022,0.24411487758945383,0.32347188495081874,0.3307670080271129
4687,sf,2020-11-05,10.583333333333334,4843,5453.285714285715,5449.714285714285,0.2694369973190349,0.2595338983050847,0.3188891933517901,0.33033112453044566
4688,sf,2020-11-06,10.583333333333334,5289,5368.428571428572,5410.785714285715,0.2694369973190349,0.2857815442561205,0.3132765772490622,0.32766195030928136
4689,sf,2020-11-07,13.466666666666667,6991,5365.428571428572,5457.571428571428,0.5013404825737267,0.3859463276836158,0.3130781514272486,0.33086985694205684
4690,sf,2020-11-08,11.633333333333333,4123,5098.857142857143,5341.642857142857,0.353887399463807,0.21716101694915252,0.2954465998318105,0.32292110508710314
4691,sf,2020-11-09,10.333333333333334,3889,4987.0,5280.857142857143,0.24932975871313678,0.20338983050847456,0.28804815133276007,0.3187532752481842
4692,sf,2020-11-10,10.358333333333334,4314,4861.428571428572,5225.785714285715,0.25134048257372665,0.22840160075329563,0.2797426133625618,0.3149772507995279
4693,sf,2020-11-11,10.45,4573,4860.285714285715,5191.428571428572,0.25871313672922247,0.24364406779661013,0.27966702257329945,0.3126215208905736
4694,sf,2020-11-12,10.35,4562,4820.142857142857,5136.714285714285,0.2506702412868633,0.2429967043314501,0.2770118961004601,0.30886998427880863
4695,sf,2020-11-13,9.916666666666666,3279,4533.0,4950.714285714285,0.21581769436997322,0.1674905838041431,0.2580197102983001,0.2961167188257592
4696,sf,2020-11-14,12.466666666666667,5696,4348.0,4856.714285714285,0.4209115281501341,0.3097339924670433,0.24578345128646073,0.28967152015593856
4697,sf,2020-11-15,12.45,5031,4477.714285714285,4788.285714285715,0.41957104557640745,0.27059792843691144,0.25436300586773497,0.28497965060754327
4698,sf,2020-11-16,10.483333333333333,4290,4535.0,4761.0,0.26139410187667556,0.2269891713747646,0.25815199417950924,0.28310877986903904
4699,sf,2020-11-17,9.816666666666666,2710,4305.857142857143,4583.642857142857,0.20777479892761397,0.13400423728813557,0.2429960409324124,0.2709481200687618
4700,sf,2020-11-18,10.166666666666666,3992,4222.857142857143,4541.571428571428,0.23592493297587125,0.20945150659133707,0.23750625986223578,0.26806345288295297
