round_trip_count,trip_count,start_year,start_month,city
129,2689,2017,6,sf
36559,1591812,2016,8,nyc
7198,133020,2020,11,sf
2124,92208,2019,12,boston
4019,183412,2019,2,sf
5476,258102,2019,7,sf
521,19518,2017,1,boston
56125,2164800,2019,6,nyc
24294,289033,2020,8,boston
39134,1859166,2018,5,nyc
3655,83292,2017,8,sf
169365,2769208,2021,5,nyc
8503,144348,2020,9,sf
7537,146002,2021,4,sf
26566,1331177,2018,4,nyc
90724,1548217,2021,3,nyc
5156,149143,2015,5,boston
6382,190651,2017,8,boston
28119,1603483,2016,10,nyc
3568,295854,2020,1,sf
9239,207023,2021,8,sf
