,city,start_station_name,end_station_name,trip_count,distance
133,nyc,E 102 St & 1 Ave,2 Ave & E 96 St,15327,0.3570912439644242
134,nyc,5 Ave & E 73 St,5 Ave & E 73 St,14915,0.0
135,nyc,Richardson St & N Henry St,Graham Ave & Conselyea St,14788,0.29654954378179915
136,nyc,McGinley Square,Sip Ave,14761,0.4238155713439298
137,nyc,11 Ave & W 41 St,8 Ave & W 33 St,14735,0.6563397838090901
138,nyc,Soissons Landing,Picnic Point,14561,0.7413707883667889
139,nyc,Brunswick & 6th,Grove St PATH,14532,0.5850240110715249
140,nyc,Pershing Square North,E 24 St & Park Ave S,14466,0.8701287668090044
141,nyc,Brunswick St,Grove St PATH,14407,0.5069099416205048
142,nyc,Picnic Point,Soissons Landing,14366,0.7413968095456962
143,nyc,Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,14311,0.4677057829451505
144,nyc,Central Park S & 6 Ave,Central Park North & Adam Clayton Powell Blvd,14305,2.559190221155832
145,nyc,Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,14281,0.0
146,nyc,Grand Army Plaza & Plaza St West,Grand Army Plaza & Plaza St West,14213,7.618490776636151e-05
147,nyc,N 6 St & Bedford Ave,Wythe Ave & Metropolitan Ave,14201,0.24923906275112784
148,nyc,Jersey & 6th St,Grove St PATH,14180,0.41407185574230826
149,nyc,Pier 40 - Hudson River Park,12 Ave & W 40 St,13889,2.3314573275769312
150,nyc,Marin Light Rail,Grove St PATH,13838,0.3455087196805909
151,nyc,W 21 St & 6 Ave,W 15 St & 7 Ave,13758,0.316989790310256
152,nyc,S 3 St & Bedford Ave,N 6 St & Bedford Ave,13753,0.3987793641431142
153,nyc,E 13 St & Avenue A,Broadway & E 14 St,13680,0.6352504650057937
154,nyc,Wythe Ave & Metropolitan Ave,N 6 St & Bedford Ave,13467,0.18328774414709761
155,nyc,DeKalb Ave & Vanderbilt Ave,DeKalb Ave & Hudson Ave,13467,0.6394966916425389
156,nyc,5 Ave & E 88 St,5 Ave & E 88 St,13365,0.0
157,nyc,Old Fulton St,Old Fulton St,13231,4.071125809809859e-05
158,nyc,3 St & Prospect Park West,3 St & Prospect Park West,13196,0.0
159,nyc,Henry St & Grand St,Canal St & Rutgers St,13172,0.46232149783742693
160,nyc,W 21 St & 6 Ave,W 22 St & 8 Ave,13120,0.2896818073333703
161,nyc,Dixon Mills,Grove St PATH,13104,0.3862890989862414
162,nyc,W 22 St & 10 Ave,W 21 St & 6 Ave,13067,0.6507483868485969
163,nyc,West St & Chambers St,Christopher St & Greenwich St,13014,1.107786566397796
164,nyc,W 26 St & 8 Ave,11 Ave & W 27 St,13014,0.5038536210284265
165,nyc,University Pl & E 8 St,University Pl & E 14 St,12880,0.27827391721158407
166,nyc,Grove St PATH,Marin Light Rail,12856,0.3455087196805909
167,nyc,Amsterdam Ave & W 73 St,Amsterdam Ave & W 82 St,12827,0.4450177248859517
168,nyc,Grand Army Plaza & Central Park S,5 Ave & E 88 St,12726,1.491582508152397
169,nyc,Norfolk St & Broome St,Henry St & Grand St,12626,0.4189316474948322
170,nyc,Milton St & Franklin St,Kent Ave & N 7 St,12520,0.6331030718310469
171,nyc,11 Ave & W 27 St,W 26 St & 8 Ave,12506,0.5038313471504766
172,nyc,Sip Ave,McGinley Square,12488,0.42375939642851423
173,nyc,E 30 St & Park Ave S,Pershing Square North,12477,0.583637405175635
174,nyc,Willoughby St & Fleet St,Adelphi St & Myrtle Ave,12475,0.5054998791602648
175,nyc,Central Park S & 6 Ave,Central Park West & W 72 St,12446,0.6821149671849237
176,nyc,West St & Chambers St,Little West St & 1 Pl,12358,0.8391003801285332
177,nyc,Graham Ave & Conselyea St,Richardson St & N Henry St,12334,0.2965881527193958
178,nyc,9 Ave & W 22 St,W 21 St & 6 Ave,12267,0.4852343614487382
179,nyc,West Thames St,South End Ave & Liberty St,12237,0.23007483963333775
180,nyc,W 42 St & 8 Ave,11 Ave & W 41 St,12222,0.45330732558193315
181,nyc,Canal St & Rutgers St,Henry St & Grand St,12024,0.4623209324761503
182,nyc,1 Ave & E 68 St,1 Ave & E 78 St,12008,0.5048988590535641
183,nyc,W 22 St & 8 Ave,W 22 St & 10 Ave,11941,0.3188873869576136
184,nyc,Grove St PATH,Dixon Mills,11935,0.38632944123026614
185,nyc,Pier 40 - Hudson River Park,Little West St & 1 Pl,11837,1.5465478590975739
186,nyc,Central Park S & 6 Ave,5 Ave & E 73 St,11824,0.6897261566641005
187,nyc,Broadway & W 60 St,11 Ave & W 59 St,11812,0.47635807597697516
188,nyc,Monmouth and 6th,Grove St PATH,11806,0.5155651226540278
189,nyc,Pershing Square North,W 41 St & 8 Ave,11758,0.7181319592506102
190,nyc,Newport Pkwy,Newport Pkwy,11710,5.520195487559498e-05
191,nyc,6 Ave & W 33 St,Pershing Square North,11689,0.5989994048205696
192,nyc,E 10 St & Avenue A,Lafayette St & E 8 St,11634,0.539984189296365
193,nyc,E 32 St & Park Ave,E 33 St & 1 Ave,11632,0.42694141027321647
194,nyc,11 Ave & W 41 St,W 42 St & 8 Ave,11613,0.4532539669886807
195,nyc,W 33 St & 7 Ave,Pershing Square North,11605,0.703482800062615
196,nyc,Christopher St & Greenwich St,West St & Chambers St,11582,1.1077748041626747
197,nyc,Cooper Square & Astor Pl,E 6 St & Avenue B,11537,0.5797565049420698
198,nyc,Central Park West & W 72 St,Central Park S & 6 Ave,11336,0.6820627393956475
199,nyc,Henry St & Grand St,Norfolk St & Broome St,11319,0.4189699240814221
200,sf,San Francisco Ferry Building (Harry Bridges Plaza),The Embarcadero at Sansome St,16715,0.7361411639274077
201,sf,Berry St at 4th St,San Francisco Ferry Building (Harry Bridges Plaza),12084,0.30216150748895626
202,sf,The Embarcadero at Sansome St,Steuart St at Market St,10460,0.8798794044103667
203,sf,Grand Ave at Perkins St,19th Street BART Station,9471,0.6288044197665008
204,sf,The Embarcadero at Sansome St,San Francisco Ferry Building (Harry Bridges Plaza),9237,0.8191760799539077
205,sf,19th Street BART Station,Grand Ave at Perkins St,9083,0.6287612698697319
206,sf,San Francisco Ferry Building (Harry Bridges Plaza),Berry St at 4th St,8447,1.3836794362112832
207,sf,Market St at 10th St,Powell St BART Station (Market St at 4th St),8065,0.6728239998520235
208,sf,Steuart St at Market St,The Embarcadero at Sansome St,7406,0.8815494052067605
209,sf,Bay Pl at Vernon St,19th Street BART Station,7016,0.4537347852326979
210,sf,Bryant St at 2nd St,Montgomery St BART Station (Market St at 2nd St),6576,0.18103186496159235
211,sf,Montgomery St BART Station (Market St at 2nd St),San Francisco Caltrain (Townsend St at 4th St),6498,0.93237316009485
